url,Player,Nationality,Team,Mat,Inns,NotOut,Runs,HS,Avg,BF,SR,100s,50s,4s,6s
http://www.iplt20.com/stats/2012/highest-strikerate,Gurkeerat; Mann Singh,Indian,KXIP,5,4,1,86,29*,28.66,52,165.38,0,0,12,2
http://www.iplt20.com/stats/2012/highest-strikerate,David; Warner,Overseas,Delhi Daredevils,8,8,1,256,109*,36.57,156,164.1,1,1,28,14
http://www.iplt20.com/stats/2012/highest-strikerate,Virender; Sehwag,Indian,Delhi Daredevils,16,16,1,495,87*,33,307,161.23,0,5,57,19
http://www.iplt20.com/stats/2012/highest-strikerate,AB; de Villiers,Overseas,Royal Challengers Bangalore,16,13,5,319,64*,39.87,198,161.11,0,3,26,15
http://www.iplt20.com/stats/2012/highest-strikerate,Chris; Gayle,Indian,Royal Challengers Bangalore,15,14,2,733,128*,61.08,456,160.74,1,7,46,59
http://www.iplt20.com/stats/2012/highest-strikerate,Dwayne; Smith,Overseas,Mumbai Indians,7,6,2,157,87*,39.25,98,160.2,0,1,18,7
http://www.iplt20.com/stats/2012/highest-strikerate,Albie; Morkel,Overseas,Chennai Super Kings,16,12,5,107,28,15.28,68,157.35,0,0,5,6
http://www.iplt20.com/stats/2012/highest-strikerate,Shane; Watson,Overseas,Rajasthan Royals,7,7,1,255,90*,42.5,168,151.78,0,2,26,14
http://www.iplt20.com/stats/2012/highest-strikerate,Cameron; White,Overseas,Deccan Chargers,13,13,2,479,78,43.54,320,149.68,0,5,41,20
http://www.iplt20.com/stats/2012/highest-strikerate,Kevin; Pietersen,Overseas,Delhi Daredevils,8,8,3,305,103*,61,207,147.34,1,1,22,20
http://www.iplt20.com/stats/2012/highest-strikerate,Gautam; Gambhir,Indian,Kolkata Knight Riders,17,17,2,590,93,39.33,411,143.55,0,6,64,17
http://www.iplt20.com/stats/2012/highest-strikerate,Mayank; Agarwal,Indian,Royal Challengers Bangalore,16,12,1,225,64*,20.45,158,142.4,0,1,19,15
http://www.iplt20.com/stats/2012/highest-strikerate,Dwayne; Bravo,Overseas,Chennai Super Kings,19,16,8,371,48,46.37,264,140.53,0,0,20,20
http://www.iplt20.com/stats/2012/highest-strikerate,Brad; Hodge,Overseas,Rajasthan Royals,12,12,4,245,48*,30.62,175,140,0,0,18,9
http://www.iplt20.com/stats/2012/highest-strikerate,Irfan; Pathan,Indian,Delhi Daredevils,17,12,5,176,42*,25.14,126,139.68,0,0,14,6
http://www.iplt20.com/stats/2012/highest-strikerate,Kieron; Pollard,Overseas,Mumbai Indians,14,11,2,220,64,24.44,159,138.36,0,2,15,14
http://www.iplt20.com/stats/2012/highest-strikerate,Suresh; Raina,Indian,Chennai Super Kings,19,18,1,441,73,25.94,325,135.69,0,1,36,19
http://www.iplt20.com/stats/2012/highest-strikerate,Steve; Smith,Overseas,Pune Warriors India,15,14,5,362,47*,40.22,267,135.58,0,0,24,14
http://www.iplt20.com/stats/2012/highest-strikerate,Debabrata; Das,Indian,Kolkata Knight Riders,15,10,7,126,35*,42,93,135.48,0,0,9,6
http://www.iplt20.com/stats/2012/highest-strikerate,Harbhajan; Singh,Indian,Mumbai Indians,17,11,2,108,33,12,80,135,0,0,14,3
http://www.iplt20.com/stats/2012/highest-strikerate,Stuart; Binny,Indian,Rajasthan Royals,8,6,2,90,30,22.5,67,134.32,0,0,9,3
http://www.iplt20.com/stats/2012/highest-strikerate,Manvinder; Bisla,Indian,Kolkata Knight Riders,7,7,0,213,89,30.42,160,133.12,0,1,16,10
http://www.iplt20.com/stats/2012/highest-strikerate,Owais; Shah,Overseas,Rajasthan Royals,13,13,4,340,76,37.77,256,132.81,0,3,24,16
http://www.iplt20.com/stats/2012/highest-strikerate,Ambati; Rayudu,Indian,Mumbai Indians,17,15,6,333,81*,37,252,132.14,0,2,21,14
http://www.iplt20.com/stats/2012/highest-strikerate,Laxmi; Ratan Shukla,Indian,Kolkata Knight Riders,11,8,2,75,26,12.5,57,131.57,0,0,4,5
