url,Player,Nationality,Team,Mat,Inns,NotOut,Runs,HS,Avg,BF,SR,100s,50s,4s,6s
http://www.iplt20.com/stats/2008/highest-strikerate,Brendon; McCullum,Overseas,KKR,4,4,1,188,158*,62.66,92,204.34,1,0,13,15
http://www.iplt20.com/stats/2008/highest-strikerate,Virender; Sehwag,Indian,Delhi Daredevils,14,14,2,406,94*,33.83,220,184.54,0,3,46,21
http://www.iplt20.com/stats/2008/highest-strikerate,Ross; Taylor,Overseas,Royal Challengers Bangalore,4,4,0,149,53,37.25,81,183.95,0,1,13,10
http://www.iplt20.com/stats/2008/highest-strikerate,Yusuf; Pathan,Indian,Rajasthan Royals,16,15,1,435,68,31.07,243,179.01,0,4,43,25
http://www.iplt20.com/stats/2008/highest-strikerate,Michael; Hussey,Overseas,Chennai Super Kings,4,3,1,168,116*,84,100,168,1,0,12,11
http://www.iplt20.com/stats/2008/highest-strikerate,Sanath; Jayasuriya,Overseas,Mumbai Indians,14,14,2,514,114*,42.83,309,166.34,1,2,57,31
http://www.iplt20.com/stats/2008/highest-strikerate,Kamran; Akmal,Overseas,Rajasthan Royals,6,6,1,128,53*,25.6,78,164.1,0,1,13,8
http://www.iplt20.com/stats/2008/highest-strikerate,Yuvraj; Singh,Indian,Kings XI Punjab,15,14,1,299,57,23,184,162.5,0,1,24,19
http://www.iplt20.com/stats/2008/highest-strikerate,Kumar; Sangakkara,Overseas,Kings XI Punjab,10,9,0,320,94,35.55,198,161.61,0,4,41,8
http://www.iplt20.com/stats/2008/highest-strikerate,MF; Maharoof,Overseas,Delhi Daredevils,10,8,2,125,39,20.83,79,158.22,0,0,10,7
http://www.iplt20.com/stats/2008/highest-strikerate,Luke; Pomersbach,Overseas,Kings XI Punjab,5,5,4,152,79*,152,99,153.53,0,1,13,9
http://www.iplt20.com/stats/2008/highest-strikerate,Andrew; Symonds,Overseas,Deccan Chargers,4,3,1,161,117*,80.5,105,153.33,1,0,15,9
http://www.iplt20.com/stats/2008/highest-strikerate,Piyush; Chawla,Indian,Kings XI Punjab,15,7,3,90,24*,22.5,59,152.54,0,0,10,3
http://www.iplt20.com/stats/2008/highest-strikerate,Shane; Watson,Overseas,Rajasthan Royals,15,15,5,472,76*,47.2,311,151.76,0,4,47,19
http://www.iplt20.com/stats/2008/highest-strikerate,James; Hopes,Overseas,Kings XI Punjab,11,11,0,221,71,20.09,148,149.32,0,2,27,8
http://www.iplt20.com/stats/2008/highest-strikerate,Abhishek; Nayar,Indian,Mumbai Indians,14,10,2,206,45*,25.75,138,149.27,0,0,16,9
http://www.iplt20.com/stats/2008/highest-strikerate,Rohit; Sharma,Indian,Deccan Chargers,13,12,1,404,76*,36.72,273,147.98,0,4,38,19
http://www.iplt20.com/stats/2008/highest-strikerate,Albie; Morkel,Overseas,Chennai Super Kings,13,10,3,241,71,34.42,163,147.85,0,1,18,14
http://www.iplt20.com/stats/2008/highest-strikerate,Subramaniam; Badrinath,Indian,Chennai Super Kings,16,11,5,192,64,32,130,147.69,0,2,21,8
http://www.iplt20.com/stats/2008/highest-strikerate,Misbah-ul-Haq,Overseas,Royal Challengers Bangalore,8,8,1,117,47*,16.71,81,144.44,0,0,10,6
http://www.iplt20.com/stats/2008/highest-strikerate,Matthew; Hayden,Overseas,Chennai Super Kings,4,4,1,189,81,63,131,144.27,0,2,24,6
http://www.iplt20.com/stats/2008/highest-strikerate,Suresh; Raina,Indian,Chennai Super Kings,16,14,3,421,55*,38.27,296,142.22,0,3,35,18
http://www.iplt20.com/stats/2008/highest-strikerate,Gautam; Gambhir,Indian,Delhi Daredevils,14,14,1,534,86,41.07,379,140.89,0,5,68,8
http://www.iplt20.com/stats/2008/highest-strikerate,Shaun; Marsh,Overseas,Kings XI Punjab,11,11,2,616,115,68.44,441,139.68,1,5,59,26
http://www.iplt20.com/stats/2008/highest-strikerate,Simon; Katich,Overseas,Kings XI Punjab,2,2,1,96,75,96,69,139.13,0,1,11,2
http://www.iplt20.com/stats/2008/highest-strikerate,Venugopal; Rao,Indian,Deccan Chargers,11,10,2,288,71*,36,210,137.14,0,2,22,15
http://www.iplt20.com/stats/2008/highest-strikerate,Adam; Gilchrist,Overseas,Deccan Chargers,14,14,1,436,109*,33.53,318,137.1,1,3,51,19
http://www.iplt20.com/stats/2008/highest-strikerate,Mahela; Jayawardene,Indian,Kings XI Punjab,13,12,5,179,45*,25.57,131,136.64,0,0,15,7
http://www.iplt20.com/stats/2008/highest-strikerate,Dinesh; Karthik,Indian,Delhi Daredevils,13,8,2,145,56*,24.16,107,135.51,0,1,13,4
http://www.iplt20.com/stats/2008/highest-strikerate,Laxmi; Ratan Shukla,Indian,Kolkata Knight Riders,13,12,4,163,42,20.37,122,133.6,0,0,17,5
