url,Player,Nationality,Team,Mat,Inns,NotOut,Runs,HS,Avg,BF,SR,100s,50s,4s,6s
http://www.iplt20.com/stats/2015/highest-strikerate,Andre; Russell,Overseas,KKR,13,11,2,326,66,36.22,169,192.89,0,3,35,19
http://www.iplt20.com/stats/2015/highest-strikerate,Hardik; Pandya,Indian,Mumbai Indians,9,8,3,112,61*,22.4,62,180.64,0,1,9,8
http://www.iplt20.com/stats/2015/highest-strikerate,AB; de Villiers,Overseas,Royal Challengers Bangalore,16,14,3,513,133*,46.63,293,175.08,1,2,60,22
http://www.iplt20.com/stats/2015/highest-strikerate,Kieron; Pollard,Overseas,Mumbai Indians,16,14,3,419,70,38.09,256,163.67,0,2,28,28
http://www.iplt20.com/stats/2015/highest-strikerate,Harbhajan; Singh,Indian,Mumbai Indians,15,10,3,117,64,16.71,73,160.27,0,1,9,9
http://www.iplt20.com/stats/2015/highest-strikerate,Deepak; Hooda,Indian,Rajasthan Royals,14,9,0,151,54,16.77,95,158.94,0,1,6,11
http://www.iplt20.com/stats/2015/highest-strikerate,Pawan; Negi,Indian,Chennai Super Kings,10,9,1,116,36,14.5,73,158.9,0,0,10,5
http://www.iplt20.com/stats/2015/highest-strikerate,Quinton; de Kock,Overseas,Delhi Daredevils,3,3,0,122,69,40.66,77,158.44,0,2,18,4
http://www.iplt20.com/stats/2015/highest-strikerate,Mandeep; Singh,Indian,Royal Challengers Bangalore,14,9,2,157,54*,22.42,100,157,0,1,17,6
http://www.iplt20.com/stats/2015/highest-strikerate,David; Warner,Overseas,Sunrisers Hyderabad,14,14,1,562,91,43.23,359,156.54,0,7,65,21
http://www.iplt20.com/stats/2015/highest-strikerate,Sarfaraz; Khan,Indian,Royal Challengers Bangalore,13,8,4,111,45*,27.75,71,156.33,0,0,12,2
http://www.iplt20.com/stats/2015/highest-strikerate,Brendon; McCullum,Overseas,Chennai Super Kings,14,14,1,436,100*,33.53,280,155.71,1,2,51,23
http://www.iplt20.com/stats/2015/highest-strikerate,Chris; Gayle,Overseas,Royal Challengers Bangalore,14,14,2,491,117,40.91,333,147.44,1,2,39,38
http://www.iplt20.com/stats/2015/highest-strikerate,Ambati; Rayudu,Indian,Mumbai Indians,15,14,5,281,53*,31.22,193,145.59,0,1,18,16
http://www.iplt20.com/stats/2015/highest-strikerate,Rohit; Sharma,Indian,Mumbai Indians,16,16,2,482,98*,34.42,333,144.74,0,3,41,21
http://www.iplt20.com/stats/2015/highest-strikerate,David; Wiese,Overseas,Royal Challengers Bangalore,14,7,3,122,47*,30.5,86,141.86,0,0,12,4
http://www.iplt20.com/stats/2015/highest-strikerate,Saurabh; Tiwary,Indian,Delhi Daredevils,7,6,6,109,28*,-,78,139.74,0,0,9,5
http://www.iplt20.com/stats/2015/highest-strikerate,Shaun; Marsh,Overseas,Kings XI Punjab,4,4,0,81,65,20.25,58,139.65,0,1,7,3
http://www.iplt20.com/stats/2015/highest-strikerate,Suryakumar; Yadav,Indian,Kolkata Knight Riders,13,13,4,157,46*,17.44,113,138.93,0,0,12,8
http://www.iplt20.com/stats/2015/highest-strikerate,Angelo; Mathews,Overseas,Delhi Daredevils,11,10,3,144,28,20.57,104,138.46,0,0,12,6
http://www.iplt20.com/stats/2015/highest-strikerate,Parthiv; Patel,Indian,Mumbai Indians,14,14,1,339,59,26.07,246,137.8,0,2,47,5
http://www.iplt20.com/stats/2015/highest-strikerate,George; Bailey,Overseas,Kings XI Punjab,13,13,2,259,61*,23.54,190,136.31,0,2,22,7
http://www.iplt20.com/stats/2015/highest-strikerate,Moises; Henriques,Overseas,Sunrisers Hyderabad,9,9,2,287,74*,41,211,136.01,0,2,19,13
http://www.iplt20.com/stats/2015/highest-strikerate,Yusuf; Pathan,Indian,Kolkata Knight Riders,13,12,5,312,52,44.57,231,135.06,0,1,29,12
http://www.iplt20.com/stats/2015/highest-strikerate,Shane; Watson,Overseas,Rajasthan Royals,10,9,1,347,104*,43.37,257,135.01,1,1,37,14
http://www.iplt20.com/stats/2015/highest-strikerate,Kedar; Jadhav,Indian,Delhi Daredevils,14,12,4,189,63*,23.62,140,135,0,1,16,7
http://www.iplt20.com/stats/2015/highest-strikerate,David; Miller,Overseas,Kings XI Punjab,13,13,2,357,89*,32.45,266,134.21,0,2,21,21
http://www.iplt20.com/stats/2015/highest-strikerate,Steve; Smith,Overseas,Rajasthan Royals,14,12,1,293,79*,26.63,221,132.57,0,2,33,3
http://www.iplt20.com/stats/2015/highest-strikerate,Albie; Morkel,Overseas,Delhi Daredevils,4,3,2,86,73*,86,65,132.3,0,1,9,2
http://www.iplt20.com/stats/2015/highest-strikerate,James; Faulkner,Overseas,Rajasthan Royals,13,11,3,144,46,18,109,132.11,0,0,12,5
http://www.iplt20.com/stats/2015/highest-strikerate,Dwayne; Bravo,Overseas,Chennai Super Kings,17,14,5,195,62*,21.66,148,131.75,0,1,22,5
http://www.iplt20.com/stats/2015/highest-strikerate,JP; Duminy,Overseas,Delhi Daredevils,14,13,3,414,78*,41.4,315,131.42,0,4,27,20
http://www.iplt20.com/stats/2015/highest-strikerate,Robin; Uthappa,Indian,Kolkata Knight Riders,13,13,1,364,80*,30.33,277,131.4,0,1,42,7
http://www.iplt20.com/stats/2015/highest-strikerate,Virat; Kohli,Indian,Royal Challengers Bangalore,16,16,5,505,82*,45.9,386,130.82,0,3,35,23
http://www.iplt20.com/stats/2015/highest-strikerate,Ajinkya; Rahane,Indian,Rajasthan Royals,14,13,2,540,91*,49.09,413,130.75,0,4,53,13
http://www.iplt20.com/stats/2015/highest-strikerate,Glenn; Maxwell,Overseas,Kings XI Punjab,11,11,0,145,43,13.18,112,129.46,0,0,13,8
http://www.iplt20.com/stats/2015/highest-strikerate,Shreyas; Iyer,Indian,Delhi Daredevils,14,14,1,439,83,33.76,342,128.36,0,4,41,21
http://www.iplt20.com/stats/2015/highest-strikerate,Wriddhiman; Saha,Indian,Kings XI Punjab,14,13,0,249,42,19.15,197,126.39,0,0,16,10
http://www.iplt20.com/stats/2015/highest-strikerate,Sanju; Samson,Overseas,Rajasthan Royals,14,11,1,204,76,20.4,163,125.15,0,1,16,8
http://www.iplt20.com/stats/2015/highest-strikerate,Francois; du Plessis,Overseas,Chennai Super Kings,17,15,2,380,55,29.23,304,125,0,1,37,5
http://www.iplt20.com/stats/2015/highest-strikerate,Karun; Nair,Indian,Rajasthan Royals,14,12,1,181,61,16.45,145,124.82,0,1,18,5
http://www.iplt20.com/stats/2015/highest-strikerate,Eoin; Morgan,Overseas,Sunrisers Hyderabad,9,9,1,187,63,23.37,151,123.84,0,1,11,11
