url,Player,Nationality,Team,Mat,Inns,NotOut,Runs,HS,Avg,BF,SR,100s,50s,4s,6s
http://www.iplt20.com/stats/2009/highest-strikerate,David; Hussey,Overseas,KKR,4,4,0,98,43,24.5,59,166.1,0,0,7,6
http://www.iplt20.com/stats/2009/highest-strikerate,Harbhajan; Singh,Indian,Mumbai Indians,13,10,2,84,20,10.5,53,158.49,0,0,6,5
http://www.iplt20.com/stats/2009/highest-strikerate,Adam; Gilchrist,Overseas,Deccan Chargers,16,16,0,495,85,30.93,325,152.3,0,3,54,29
http://www.iplt20.com/stats/2009/highest-strikerate,Andrew; Symonds,Overseas,Deccan Chargers,8,8,1,249,60*,35.57,166,150,0,1,15,11
http://www.iplt20.com/stats/2009/highest-strikerate,Matthew; Hayden,Overseas,Chennai Super Kings,12,12,1,572,89,52,395,144.81,0,5,60,22
http://www.iplt20.com/stats/2009/highest-strikerate,Virender; Sehwag,Indian,Delhi Daredevils,11,11,1,198,50,19.8,138,143.47,0,1,24,7
http://www.iplt20.com/stats/2009/highest-strikerate,Manish; Pandey,Overseas,Royal Challengers Bangalore,5,4,2,168,114*,84,118,142.37,1,0,17,4
http://www.iplt20.com/stats/2009/highest-strikerate,Suresh; Raina,Indian,Chennai Super Kings,14,14,0,434,98,31,308,140.9,0,2,37,21
http://www.iplt20.com/stats/2009/highest-strikerate,Albie; Morkel,Overseas,Chennai Super Kings,12,10,6,97,21*,24.25,70,138.57,0,0,8,4
http://www.iplt20.com/stats/2009/highest-strikerate,Ross; Taylor,Overseas,Royal Challengers Bangalore,11,11,2,280,81*,31.11,208,134.61,0,1,20,15
http://www.iplt20.com/stats/2009/highest-strikerate,Yusuf; Pathan,Indian,Rajasthan Royals,13,13,1,243,62*,20.25,183,132.78,0,1,24,12
http://www.iplt20.com/stats/2009/highest-strikerate,Mahela; Jayawardene,Overseas,Kings XI Punjab,10,10,4,219,52*,36.5,165,132.72,0,1,17,7
http://www.iplt20.com/stats/2009/highest-strikerate,Dinesh; Karthik,Indian,Delhi Daredevils,15,13,5,288,52,36,217,132.71,0,1,20,9
http://www.iplt20.com/stats/2009/highest-strikerate,AB; de Villiers,Overseas,Delhi Daredevils,15,13,4,465,105*,51.66,355,130.98,1,3,39,12
