Player,Team,Auction Price,Base Price,Year
Mahendra Singh Dhoni,Chennai Super Kings,"1,500,000","150,000",2008
Adam Gilchrist,Deccan Chargers,"700,000","150,000",2008
Muttiah Muralitharan,Chennai Super Kings,"600,000","150,000",2008
Mahela Jayawardene,Kings XI Punjab,"475,000","150,000",2008
Shane Warne,Rajasthan Royals,"450,000","150,000",2008
Shoaib Akhtar,Kolkata Knight Riders in 2008,"425,000","150,000",2008
Anil Kumble,Royal Challengers Bangalore in 2008,"500,000","150,000",2008
Harbhajan Singh,Mumbai Indians,"850,000","150,000",2008
Sanath Jayasuriya,Mumbai Indians,"975,000","150,000",2008
Kumar Sangakkara,Kings XI Punjab,"700,000","150,000",2008
Ricky Ponting,Kolkata Knight Riders in 2008,"400,000","150,000",2008
Brett Lee,Kings XI Punjab,"900,000","150,000",2008
Andrew Symonds,Deccan Chargers,"1,350,000","150,000",2008
Daniel Vettori,Delhi Daredevils in 2008,"625,000","150,000",2008
Matthew Hayden,Chennai Super Kings,"375,000","150,000",2008
Brendon McCullum,Kolkata Knight Riders in 2008,"700,000","150,000",2008
Jacob Oram,Chennai Super Kings,"675,000","150,000",2008
Stephen Fleming,Chennai Super Kings,"350,000","150,000",2008
Graeme Smith,Rajasthan Royals,"250,000","150,000",2008
Herschelle Gibbs,Deccan Chargers,"575,000","150,000",2008
Chris Gayle,Kolkata Knight Riders in 2008,"800,000","150,000",2008
Shoaib Malik,Delhi Daredevils in 2008,"500,000","150,000",2008
Shahid Afridi,Deccan Chargers,"675,000","150,000",2008
Younis Khan,Rajasthan Royals,"225,000","150,000",2008
Mohammad Asif,Delhi Daredevils in 2008,"650,000","150,000",2008
Jacques Kallis,Royal Challengers Bangalore in 2008,"900,000","150,000",2008
Zaheer Khan,Royal Challengers Bangalore in 2008,"450,000","150,000",2008
,Kings XI Punjab,"625,000","150,000",2008
Dinesh Karthik,Delhi Daredevils in 2008,"525,000","150,000",2008
AB de Villiers,Delhi Daredevils in 2008,"300,000","150,000",2008
Mark Boucher,Royal Challengers Bangalore in 2008,"450,000","150,000",2008
Parthiv Patel,Chennai Super Kings,"325,000","150,000",2008
Kamran Akmal,Rajasthan Royals,"150,000","150,000",2008
Albie Morkel,Chennai Super Kings,"675,000","150,000",2008
Ajit Agarkar,Kolkata Knight Riders in 2008,"350,000","150,000",2008
Shaun Pollock,Mumbai Indians,"550,000","150,000",2008
Irfan Pathan,Kings XI Punjab,"925,000","150,000",2008
Scott Styris,Deccan Chargers,"175,000","150,000",2008
Farveez Maharoof,Delhi Daredevils in 2008,"225,000","150,000",2008
Tillakaratne Dilshan,Delhi Daredevils in 2008,"250,000","150,000",2008
Cameron White,Royal Challengers Bangalore in 2008,"500,000","150,000",2008
Yusuf Pathan,Rajasthan Royals,"475,000","150,000",2008
Joginder Sharma,Chennai Super Kings,"225,000","150,000",2008
Gautam Gambhir,Delhi Daredevils in 2008,"725,000","150,000",2008
Robin Uthappa,Mumbai Indians,"800,000","150,000",2008
V. V. S. Laxman,Deccan Chargers,"375,000","150,000",2008
Wasim Jaffer,Royal Challengers Bangalore in 2008,"150,000","150,000",2008
Rohit Sharma,Deccan Chargers,"750,000","150,000",2008
Mohammad Kaif,Rajasthan Royals,"675,000","150,000",2008
Suresh Raina,Chennai Super Kings,"650,000","150,000",2008
Manoj Tiwary,Delhi Daredevils in 2008,"675,000","150,000",2008
Chamara Silva,Deccan Chargers,"100,000","150,000",2008
David Hussey,Kolkata Knight Riders in 2008,"625,000","150,000",2008
Nathan Bracken,Royal Challengers Bangalore in 2008,"325,000","150,000",2008
R. P. Singh,Deccan Chargers,"875,000","150,000",2008
Murali Kartik,Kolkata Knight Riders in 2008,"425,000","150,000",2008
Makhaya Ntini,Chennai Super Kings,"200,000","150,000",2008
Lasith Malinga,Mumbai Indians,"350,000","150,000",2008
Chaminda Vaas,Deccan Chargers,"200,000","150,000",2008
Ramesh Powar,Kings XI Punjab,"170,000","150,000",2008
Umar Gul,Kolkata Knight Riders in 2008,"150,000","150,000",2008
Dale Steyn,Royal Challengers Bangalore in 2008,"325,000","150,000",2008
Dilhara Fernando,Mumbai Indians,"150,000","150,000",2008
Ishant Sharma,Kolkata Knight Riders in 2008,"950,000","150,000",2008
Piyush Chawla,Kings XI Punjab,"400,000","150,000",2008
Munaf Patel,Rajasthan Royals,"275,000","150,000",2008
Nuwan Zoysa,Deccan Chargers,"110,000","150,000",2008
Glenn McGrath,Delhi Daredevils in 2008,"350,000","150,000",2008
Michael Hussey,Chennai Super Kings,"250,000","150,000",2008
Tatenda Taibu,Kolkata Knight Riders in 2008,"125,000","150,000",2008
Ramnaresh Sarwan,Kings XI Punjab,"225,000","150,000",2008
Simon Katich,Kings XI Punjab,"200,000","150,000",2008
Justin Langer,Rajasthan Royals,"200,000","150,000",2008
Shivnarine Chanderpaul,Royal Challengers Bangalore in 2008,"200,000","150,000",2008
Loots Bosman,Mumbai Indians,"150,000","150,000",2008
