Player,Team,Auction Price,Base Price,Year
Christopher Barnwell,Mumbai Indians,"50,000 ","50,000 ",2013
Johan Botha,Sunrisers Hyderabad,"450,000 ","300,000 ",2013
Daniel Christian,Royal Challengers Bangalore,"100,000 ","100,000 ",2013
Michael Clarke,Pune Warriors India,"400,000 ","400,000 ",2013
Nathan Coulter-Nile,Mumbai Indians,"450,000 ","100,000 ",2013
Akila Dananjaya,Chennai Super Kings,"20,000 ","20,000 ",2013
Quinton de Kock,Sunrisers Hyderabad,"20,000 ","20,000 ",2013
Fidel Edwards,Rajasthan Royals,"210,000 ","100,000 ",2013
James Faulkner,Rajasthan Royals,"400,000 ","100,000 ",2013
Manpreet Gony,Kings XI Punjab,"500,000 ","200,000 ",2013
Moisés Henriques,Royal Challengers Bangalore,"300,000 ","100,000 ",2013
Jason Holder,Chennai Super Kings,"20,000 ","20,000 ",2013
Phillip Hughes,Mumbai Indians,"100,000 ","100,000 ",2013
Ben Laughlin,Chennai Super Kings,"20,000 ","20,000 ",2013
Glenn Maxwell,Mumbai Indians,"1,000,000 ","200,000 ",2013
Nathan McCullum,Sunrisers Hyderabad,"100,000 ","100,000 ",2013
Clint McKay,Sunrisers Hyderabad,"100,000 ","100,000 ",2013
Ryan McLaren,Kolkata Knight Riders,"50,000 ","50,000 ",2013
Ajantha Mendis,Pune Warriors India,"725,000 ","50,000 ",2013
Jeevan Mendis,Delhi Daredevils,"50,000 ","50,000 ",2013
Chris Morris,Chennai Super Kings,"625,000 ","20,000 ",2013
Dirk Nannes,Chennai Super Kings,"600,000 ","200,000 ",2013
Abhishek Nayar,Pune Warriors India,"675,000 ","100,000 ",2013
Jacob Oram,Mumbai Indians,"50,000 ","50,000 ",2013
Kusal Perera,Rajasthan Royals,"20,000 ","20,000 ",2013
Thisara Perera,Sunrisers Hyderabad,"675,000 ","50,000 ",2013
Luke Pomersbach,Kings XI Punjab,"300,000 ","50,000 ",2013
Ricky Ponting,Mumbai Indians,"400,000 ","400,000 ",2013
Ravi Rampaul,Royal Challengers Bangalore,"290,000 ","50,000 ",2013
Kane Richardson,Pune Warriors India,"700,000 ","100,000 ",2013
Jesse Ryder,Delhi Daredevils,"260,000 ","100,000 ",2013
Darren Sammy,Sunrisers Hyderabad,"425,000 ","100,000 ",2013
Sachithra Senanayake,Kolkata Knight Riders,"625,000 ","50,000 ",2013
Pankaj Singh,Royal Challengers Bangalore,"150,000 ","50,000 ",2013
R. P. Singh,Royal Challengers Bangalore,"400,000 ","100,000 ",2013
Sudeep Tyagi,Sunrisers Hyderabad,"100,000 ","100,000 ",2013
Jaydev Unadkat,Royal Challengers Bangalore,"525,000 ","100,000 ",2013
