Player,Team,Auction Price,Base Price,Year
Shane Bond,Kolkata Knight Riders,"750,000",100000,2010
Kieron Pollard,Mumbai Indians,"750,000","200,000",2010
Kemar Roach,Deccan Chargers,"720,000","100,000",2010
Wayne Parnell,Delhi Daredevils,"610,000","200,000",2010
Mohammad Kaif,Kings XI Punjab,"250,000","100,000",2010
Eoin Morgan,Royal Challengers Bangalore,"220,000","200,000",2010
Damien Martyn,Rajasthan Royals,"100,000","100,000",2010
Justin Kemp,Chennai Super Kings,"100,000","100,000",2010
Thissara Perera,Chennai Super Kings,"50,000","50,000",2010
Adam Voges,Rajasthan Royals,"50,000","50,000",2010
Yusuf Abdulla,Kings XI Punjab,"50,000","50,000",2010
