Player,Team,Auction Price,Base Price,Year
Mitchell Johnson,Kings XI Punjab,650000,200000,2014
Jacques Kallis,Kolkata Knight Riders,550000,200000,2014
Kevin Pietersen,Delhi Daredevils,900000,200000,2014
Virender Sehwag,Kings XI Punjab,320000,200000,2014
Yuvraj Singh,Royal Challengers Bangalore,"1,400,000",200000,2014
Murali Vijay,Delhi Daredevils,500000,200000,2014
David Warner,Sunrisers Hyderabad,550000,150000,2014
George Bailey,Kings XI Punjab,325000,200000,2014
Faf du Plessis,Chennai Super Kings,475000,150000,2014
Michael Hussey,Mumbai Indians,500000,200000,2014
Dinesh Karthik,Delhi Daredevils,"1,250,000",200000,2014
Zaheer Khan,Mumbai Indians,260000,100000,2014
Brendon McCullum,Chennai Super Kings,325000,200000,2014
Amit Mishra,Sunrisers Hyderabad,475000,200000,2014
Darren Sammy,Sunrisers Hyderabad,350000,100000,2014
Jean-Paul Duminy,Delhi Daredevils,220000,100000,2014
Aaron Finch,Sunrisers Hyderabad,400000,100000,2014
Brad Hodge,Rajasthan Royals,240000,200000,2014
Shaun Marsh,Kings XI Punjab,220000,200000,2014
Cheteshwar Pujara,Kings XI Punjab,190000,150000,2014
Dwayne Smith,Chennai Super Kings,450000,150000,2014
Ross Taylor,Delhi Daredevils,200000,200000,2014
Manoj Tiwary,Delhi Daredevils,280000,200000,2014
Robin Uthappa,Kolkata Knight Riders,500000,200000,2014
Quinton de Kock,Delhi Dardevils,350000,100000,2014
Naman Ojha,Sunrisers Hyderabad,50000,50000,2014
Parthiv Patel,Royal Challengers Bangalore,275000,100000,2014
Wriddhiman Saha,Kings XI Punjab,220000,100000,2014
Shakib Al Hasan,Kolkata Knight Riders,280000,100000,2014
Albie Morkel,Royal Challengers Bangalore,240000,150000,2014
Irfan Pathan,Sunrisers Hyderabad,240000,150000,2014
Yusuf Pathan,Kolkata Knight Riders,325000,200000,2014
Thisara Perera,Kings XI Punjab,160000,50000,2014
Steven Smith,Rajasthan Royals,400000,200000,2014
Ashok Dinda,Royal Challengers Bangalore,150000,100000,2014
Bhuvneshwar Kumar,Sunrisers Hyderabad,425000,150000,2014
Morne Morkel,Kolkata Knight Riders,280000,150000,2014
Ravi Rampaul,Royal Challengers Bangalore,90000,50000,2014
Mohammed Shami,Delhi Dardevils,425000,100000,2014
Ishant Sharma,Sunrisers Hyderabad,425000,150000,2014
Mitchell Starc,Royal Challengers Bangalore,500000,200000,2014
Ranganath Vinay Kumar,Kolkata Knight Riders,280000,150000,2014
Umesh Yadav,Kolkata Knight Riders,260000,100000,2014
Piyush Chawla,Kolkata Knight Riders,425000,50000,2014
Murali Kartik,Kings XI Punjab[REC],100000,100000,2014
