Player,Team,Auction Price,Base Price,Year
Muttiah Muralitharan,Royal Challengers Bangalore,100000,100000,2014
Pragyan Ojha,Mumbai Indians [RTM],325000,200000,2014
Rahul Sharma,Delhi Daredevils,190000,50000,2014
Nic Maddinson,Royal Challengers Bangalore,50000,50000,2014
Saurabh Tiwary,Delhi Daredevils,70000,50000,2014
Brendan Taylor,Sunrisers Hyderabad,30000,30000,2014
Corey Anderson,Mumbai Indians,450000,100000,2014
Moises Henriques,Sunrisers Hyderabad,100000,100000,2014
Glenn Maxwell,Kings XI Punjab,600000,100000,2014
Abhishek Nayar,Rajasthan Royals,100000,30000,2014
Laxmi Ratan Shukla,Delhi Daredevils,150000,50000,2014
Andre Russell,Kolkata Knight Riders[REC],60000,50000,2014
Varun Aaron,Royal Challengers Bangalore,200000,150000,2014
Parvinder Awana,Kings XI Punjab [RTM],65000,50000,2014
Lakshmipathy Balaji,Kings XI Punjab,180000,50000,2014
Nathan Coulter-Nile,Delhi Daredevils,425000,100000,2014
Ashish Nehra,Chennai Super Kings,200000,200000,2014
Mohit Sharma,Chennai Super Kings,200000,100000,2014
Jaydev Unadkat,Delhi Daredevils,280000,100000,2014
Samuel Badree,Chennai Super Kings,30000,30000,2014
Chris Lynn,Kolkata Knight Riders[RTM],130000,50000,2014
Yalaka Venugopal Rao,Sunrisers Hyderabad,55000,30000,2014
John Hastings,Chennai Super Kings[REC],50000,50000,2014
James Neesham,Delhi Daredevils,100000,30000,2014
Ben Cutting,Rajasthan Royals,80000,50000,2014
Josh Hazlewood,Mumbai Indians,50000,50000,2014
Ben Hilfenhaus,Chennai Super Kings,100000,100000,2014
Jason Holder,Sunrisers Hyderabad,75000,50000,2014
Kane Richardson,Rajasthan Royals,100000,100000,2014
Tim Southee,Rajasthan Royals,120000,50000,2014
Patrick Cummins,Kolkata Knight Riders[REC],100000,100000,2014
Wayne Parnell,Delhi Daredevils[REC],100000,100000,2014
Marchant de Lange,Mumbai Indians[REC],30000,30000,2014
Krishmar Santokie,Mumbai Indians[REC],30000,30000,2014
Matt Henry,Chennai Super Kings,30000,30000,2014
Mayank Agarwal,Delhi Daredevils,160000,10000,2014
Srikkanth Anirudha,Sunrisers Hyderabad,20000,20000,2014
Baba Aparajith,Chennai Super Kings,10000,10000,2014
Unmukt Chand,Rajasthan Royals,65000,30000,2014
Kedar Jadhav,Delhi Daredevils[RTM],200000,30000,2014
Manprit Juneja,Sunrisers Hyderabad,10000,10000,2014
Gurkeerat Singh,Kings XI Punjab,130000,20000,2014
Manish Pandey,Kolkata Knight Riders,170000,20000,2014
KL Rahul,Sunrisers Hyderabad,100000,10000,2014
Suryakumar Yadav,Kolkata Knight Riders,70000,20000,2014
Vijay Zol,Royal Challengers Bangalore,30000,30000,2014
Ankush Bains,Rajasthan Royals,10000,10000,2014
Manvinder Bisla,Kolkata Knight Riders,60000,30000,2014
Debabrata Das,Kolkata Knight Riders[REC],20000,20000,2014
Ben Dunk,Mumbai Indians[REC],20000,20000,2014
CM Gautam,Mumbai Indians,20000,20000,2014
Sushant Marathe,Mumbai Indians,10000,10000,2014
Yogesh Takawale,Royal Challengers Bangalore[REC],10000,10000,2014
Aditya Tare,Mumbai Indians,160000,20000,2014
Iqbal Abdullah,Rajasthan Royals,65000,30000,2014
Rajat Bhatia,Rajasthan Royals,170000,30000,2014
Kevon Cooper,Rajasthan Royals,30000,30000,2014
Rishi Dhawan,Kings XI Punjab,300000,20000,2014
Mithun Manhas,Chennai Super Kings,30000,30000,2014
Parvez Rasool,Sunrisers Hyderabad,95000,20000,2014
Mandeep Singh,Kings XI Punjab,80000,30000,2014
Ryan Ten Doeschate,Kolkata Knight Riders,100000,100000,2014
Abu Nechim Ahmed,Royal Challengers Bangalore,30000,30000,2014
Jasprit Bumrah,Mumbai Indians,120000,20000,2014
Siddarth Kaul,Delhi Daredevils,45000,20000,2014
Dhawal Kulkarni,Rajasthan Royals,110000,30000,2014
Ishwar Pandey,Chennai Super Kings,150000,10000,2014
Prasanth Parameswaran,Sunrisers Hyderabad,30000,30000,2014
Sandeep Sharma,Kings XI Punjab,85000,30000,2014
Rahul Shukla,Delhi Daredevils,40000,20000,2014
Anureet Singh,Kings XI Punjab,20000,20000,2014
Shreyas Gopal,Mumbai Indians,10000,10000,2014
Shadab Jakati,Royal Challengers Bangalore,20000,20000,2014
Shahbaz Nadeem,Delhi Daredevils[RTM],85000,30000,2014
Pawan Negi,Chennai Super Kings,10000,10000,2014
Karn Sharma,Sunrisers Hyderabad,375000,30000,2014
Yuzvendra Chahal,Royal Challengers Bangalore,10000,10000,2014
Kuldeep Yadav,Kolkata Knight Riders,40000,10000,2014
Pravin Tambe,Rajasthan Royals[RTM],10000,10000,2014
Karun Nair,Rajasthan Royals,75000,10000,2014
Apoorv Vijay Wankhade,Mumbai Indians[REC],10000,10000,2014
Amit Paunikar,Sunrisers Hyderabad,20000,20000,2014
Dishant Yagnik,Rajasthan Royals,30000,30000,2014
Akshar Patel,Kings XI Punjab,75000,20000,2014
Jalaj Saxena,Mumbai Indians,90000,20000,2014
Vijay Shankar,Chennai Super Kings,10000,10000,2014
Beuran Hendricks,Kings XI Punjab,180000,30000,2014
Vikramjeet Malik,Rajasthan Royals,20000,20000,2014
Ronit More,Chennai Super Kings,10000,10000,2014
Harshal Patel,Royal Challengers Bangalore[RTM],40000,30000,2014
Veer Pratap Singh,Kolkata Knight Riders,40000,20000,2014
Ashish Reddy,Sunrisers Hyderabad[REC],20000,20000,2014
Pawan Suyal,Mumbai Indians,10000,10000,2014
Sandeep Warrier,Royal Challengers Bangalore,10000,10000,2014
Ankit Nagendra Sharma,Rajasthan Royals[REC],10000,10000,2014
Ricky Bhui,Sunrisers Hyderabad[REC],10000,10000,2014
Rahul Tewatia,Rajasthan Royals[REC],10000,10000,2014
Jayant Yadav,Delhi Daredevils[REC],10000,10000,2014
Amit Mishra,Rajasthan Royals[REC],10000,10000,2014
Sachin Rana,Royal Challengers Bangalore[REC],20000,20000,2014
HS Sharath,Delhi Daredevils[REC],10000,10000,2014
Shivam Sharma,Kings XI Punjab[REC],10000,10000,2014
Deepak Hooda,Rajasthan Royals[REC],40000,10000,2014
Chama Milind,Sunrisers Hyderabad[REC],10000,10000,2014
Shardul Thakur,Kings XI Punjab[REC],20000,10000,2014
Tanmay Mishra,Royal Challengers Bangalore[REC],10000,10000,2014
Sayan Sekhar Mondal,Kolkata Knight Riders[REC],10000,10000,2014
Karanveer Singh,Kings XI Punjab[REC],10000,10000,2014
Milind Kumar,Delhi Daredevils[REC],10000,10000,2014
