Player,Team,Auction Price,Base Price,Year
Brendon McCullum,Kolkata Knight Riders,"900,000 ","400,000 ",2012
Ravindra Jadeja,Chennai Super Kings,"2,000,000 ","100,000 ",2012
Muttiah Muralitharan,Royal Challengers Bangalore,"220,000 ","200,000 ",2012
Mahela Jayawardene,Delhi Daredevils,"1,400,000 ","300,000 ",2012
Herschelle Gibbs,Mumbai Indians,"50,000 ","50,000 ",2012
Brad Hodge,Rajasthan Royals,"475,000 ","200,000 ",2012
Parthiv Patel,Deccan Chargers,"650,000 ","200,000 ",2012
Dinesh Chandimal,Rajasthan Royals,"50,000 ","50,000 ",2012
Andre Russell,Delhi Daredevils,"450,000 ","50,000 ",2012
Mitchell Johnson,Mumbai Indians,"300,000 ","300,000 ",2012
R. P. Singh,Mumbai Indians,"600,000 ","200,000 ",2012
Vinay Kumar,Royal Challengers Bangalore,"1,000,000 ","100,000 ",2012
,Rajasthan Royals,"400,000 ","400,000 ",2012
Ramesh Powar,Kings XI Punjab,"160,000 ","100,000 ",2012
Brad Hogg,Rajasthan Royals,"180,000 ","100,000 ",2012
Sunil Narine,Kolkata Knight Riders,"700,000 ","50,000 ",2012
Robin Peterson,Mumbai Indians,"100,000 ","100,000 ",2012
Daniel Harris,Deccan Chargers,"70,000 ","50,000 ",2012
Kevon Cooper,Rajasthan Royals,"50,000 ","50,000 ",2012
James Faulkner,Kings XI Punjab,"190,000 ","100,000 ",2012
Azhar Mahmood,Kings XI Punjab,"200,000 ","100,000 ",2012
Thisara Perera,Mumbai Indians,"650,000 ","50,000 ",2012
Marchant de Lange,Kolkata Knight Riders,"50,000 ","50,000 ",2012
Darren Bravo,Deccan Chargers,"100,000 ","100,000 ",2012
Doug Bracewell,Delhi Daredevils,"50,000 ","50,000 ",2012
