Player,Team,Auction Price,Base Price,Year
Eoin Morgan,Kings XI Punjab,200000,200000,2017
Pawan Negi,Royal Challengers Bangalore,100000,30000,2017
Angelo Mathews,Delhi Daredevils,200000,200000,2017
Ben Stokes,Rising Pune Supergiants,1450000,200000,2017
Corey Anderson,Delhi Daredevils,100000,100000,2017
Nicholas Pooran,Mumbai Indians,30000,30000,2017
Kagiso Rabada,Delhi Daredevils,500000,100000,2017
Trent Boult,Kolkata Knight Riders,500000,150000,2017
Tymal Mills,Royal Challengers Bangalore,1200000,50000,2017
Pat Cummins,Delhi Daredevils,450000,200000,2017
Mitchell Johnson,Mumbai Indians,200000,200000,2017
Ankit Bawne,Delhi Daredevils,10000,10000,2017
Tanmay Agarwal,Sunrisers Hyderabad,10000,10000,2017
Mohammad Nabi,Sunrisers Hyderabad,30000,30000,2017
K Gowtham,Mumbai Indians,200000,10000,2017
Rahul Tewatia,Kings XI Punjab,25000,10000,2017
Aditya Tare,Delhi Daredevils,25000,20000,2017
Eklavya Dwivedi,Sunrisers Hyderabad,75000,30000,2017
Aniket Choudhary,Royal Challengers Bangalore,200000,10000,2017
T Natarajan,Kings XI Punjab,300000,10000,2017
Nathu Singh,Gujarat Lions,50000,30000,2017
Basil Thampi,Gujarat Lions,85000,10000,2017
M Ashwin,Delhi Daredevils,100000,10000,2017
Tejas Baroka,Gujarat Lions,10000,10000,2017
Rashid Khan,Sunrisers Hyderabad,400000,50000,2017
Pravin Tambe,Sunrisers Hyderabad,10000,10000,2017
Chris Woakes,Kolkata Knight Riders,420000,200000,2017
Karn Sharma,Mumbai Indians,320000,30000,2017
Rishi Dhawan,Kolkata Knight Riders,55000,30000,2017
Matt Henry,Kings XI Punjab,50000,50000,2017
Jaydev Unadkat,Rising Pune Supergiants,30000,30000,2017
Varun Aaron,Kings XI Punjab,280000,30000,2017
Manpreet Gony,Gujarat Lions,60000,30000,2017
Martin Guptill,Kings XI Punjab,50000,50000,2017
Jason Roy,Gujarat Lions,100000,100000,2017
Saurabh Tiwary,Mumbai Indians,30000,30000,2017
Chris Jordan,Sunrisers Hyderabad,50000,50000,2017
Nathan Coulter-Nile,Kolkata Knight Riders,350000,100000,2017
Praveen Dubey,Royal Challengers Bangalore,10000,10000,2017
Navdeep Saini,Delhi Daredevils,10000,10000,2017
Ben Laughlin,Sunrisers Hyderabad,30000,30000,2017
Billy Stanlake,Royal Challengers Bangalore,30000,30000,2017
Mohammed Siraj,Sunrisers Hyderabad,260000,20000,2017
Rahul Chahar,Rising Pune Supergiants,10000,10000,2017
Saurabh Kumar,Rising Pune Supergiants,10000,10000,2017
Asela Gunaratne,Mumbai Indians,30000,30000,2017
Daniel Christian,Rising Pune Supergiants,100000,100000,2017
Rovman Powell,Kolkata Knight Riders,30000,30000,2017
Darren Sammy,Kings XI Punjab,30000,30000,2017
Munaf Patel,Gujarat Lions,30000,30000,2017
Rinku Singh,Kings XI Punjab,10000,10000,2017
Shashank Singh,Delhi Daredevils,10000,10000,2017
Milind Tandon,Rising Pune Supergiants,10000,10000,2017
Kulwant Khejroliya,Mumbai Indians,10000,10000,2017
Chirag Suri,Gujarat Lions,10000,10000,2017
R Sanjay Yadav,Kolkata Knight Riders,10000,10000,2017
Shelley Shaurya,Gujarat Lions,10000,10000,2017
Shubham Agarwal,Gujarat Lions,10000,10000,2017
Ishank Jaggi,Kolkata Knight Riders,10000,10000,2017
Rahul Tripathi,Rising Pune Supergiants,10000,10000,2017
Pratham Singh,Gujarat Lions,10000,10000,2017
Akshdeep Nath,Gujarat Lions,10000,10000,2017
Lockie Ferguson,Rising Pune Supergiants,50000,50000,2017
Manoj Tiwary,Rising Pune Supergiants,50000,50000,2017
Darren Bravo,Kolkata Knight Riders,50000,50000,2017
Sayan Ghosh,Kolkata Knight Riders,10000,10000,2017
