Player,Team,Auction Price,Base Price,Year
Michael Hussey,Chennai Super Kings,150000,150000,2015
Irfan Pathan,Chennai Super Kings,150000,150000,2015
Rahul Sharma,Chennai Super Kings,30000,30000,2015
Kyle Abbott,Chennai Super Kings,30000,30000,2015
Andrew Tye,Chennai Super Kings,20000,20000,2015
Pratyush Singh,Chennai Super Kings,10000,10000,2015
Ankush Bains,Chennai Super Kings,10000,10000,2015
Eklavya Dwivedi,Chennai Super Kings,10000,10000,2015
Yuvraj Singh,Delhi Daredevils,1600000,200000,2015
Angelo Mathews,Delhi Daredevils,750000,150000,2015
Zaheer Khan,Delhi Daredevils,400000,100000,2015
Amit Mishra,Delhi Daredevils,350000,10000,2015
Shreyas Iyer,Delhi Daredevils,260000,10000,2015
Gurinder Sandhu,Delhi Daredevils,170000,30000,2015
Jaydev Unadkat,Delhi Daredevils,110000,50000,2015
Domnic Joseph,Delhi Daredevils,75000,10000,2015
Albie Morkel,Delhi Daredevils,30000,30000,2015
Marcus Stoinis,Delhi Daredevils,25000,20000,2015
CM Gautam,Delhi Daredevils,20000,20000,2015
Srikar Bharat,Delhi Daredevils,10000,10000,2015
KK Jiyas,Delhi Daredevils,10000,10000,2015
Murali Vijay,Kings XI Punjab,300000,50000,2015
Nikhil Naik,Kings XI Punjab,30000,10000,2015
Yogesh Golwalkar,Kings XI Punjab,10000,10000,2015
KC Cariappa,Kolkata Knight Riders,240000,10000,2015
James Neesham,Kolkata Knight Riders,50000,30000,2015
Brad Hogg,Kolkata Knight Riders,50000,50000,2015
Aditya Garhwal,Kolkata Knight Riders,25000,10000,2015
Sheldon Jackson,Kolkata Knight Riders,15000,10000,2015
Sumit Narwal,Kolkata Knight Riders,10000,10000,2015
Vaibhav Rawal,Kolkata Knight Riders,10000,10000,2015
Aaron Finch,Mumbai Indians,320000,100000,2015
Pragyan Ojha,Mumbai Indians,50000,50000,2015
Abhimanyu Mithun,Mumbai Indians,30000,30000,2015
Mitchell McClenaghan,Mumbai Indians,30000,30000,2015
Aiden Blizzard,Mumbai Indians,30000,30000,2015
Hardik Pandya,Mumbai Indians,10000,10000,2015
Akshay Wakhare,Mumbai Indians,10000,10000,2015
Nitish Rana,Mumbai Indians,10000,10000,2015
Siddhesh Lad,Mumbai Indians,10000,10000,2015
Jagadeesha Suchith,Mumbai Indians,10000,10000,2015
Chris Morris,Rajasthan Royals,140000,50000,2015
Rusty Theron,Rajasthan Royals,30000,30000,2015
Brainder Sran,Rajasthan Royals,10000,10000,2015
Dinesh Salunkhe,Rajasthan Royals,10000,10000,2015
Sagar Trivedi,Rajasthan Royals,10000,10000,2015
Pardeep Sahu,Rajasthan Royals,10000,10000,2015
Dinesh Karthik,Royal Challengers Bangalore,1050000,200000,2015
Darren Sammy,Royal Challengers Bangalore,280000,100000,2015
David Wiese,Royal Challengers Bangalore,280000,30000,2015
Sean Abbott,Royal Challengers Bangalore,100000,50000,2015
Adam Milne,Royal Challengers Bangalore,70000,30000,2015
Sarfaraz Khan,Royal Challengers Bangalore,50000,10000,2015
Subramaniam Badrinath,Royal Challengers Bangalore,30000,30000,2015
Jalaj Saxena,Royal Challengers Bangalore,10000,10000,2015
Shishir Bhavane,Royal Challengers Bangalore,10000,10000,2015
Trent Boult,Sunrisers Hyderabad,380000,50000,2015
Praveen Kumar,Sunrisers Hyderabad,220000,50000,2015
Kevin Pietersen,Sunrisers Hyderabad,200000,200000,2015
Eoin Morgan,Sunrisers Hyderabad,150000,150000,2015
Ravi Bopara,Sunrisers Hyderabad,100000,100000,2015
Kane Williamson,Sunrisers Hyderabad,60000,50000,2015
Laxmi Ratan Shukla,Sunrisers Hyderabad,30000,30000,2015
Padmanabhan Prasanth,Sunrisers Hyderabad,10000,10000,2015
Hanuma Vihari,Sunrisers Hyderabad,10000,10000,2015
Siddarth Kaul,Sunrisers Hyderabad,10000,10000,2015
