Player,Team,Auction Price,Base Price,Year
Kevin Pietersen,Rising Pune Supergiant,300000,200000,2016
Dwayne Smith,Gujarat Lions,230000,50000,2016
Ishant Sharma,Rising Pune Supergiant,380000,200000,2016
Shane Watson,Royal Challengers Bangalore,950000,200000,2016
Ashish Nehra,Sunrisers Hyderabad,550000,200000,2016
Yuvraj Singh,Sunrisers Hyderabad,700000,200000,2016
Dale Steyn,Gujarat Lions,230000,150000,2016
Sanju Samson,Delhi Daredevils,420000,200000,2016
Jos Buttler,Mumbai Indians,380000,150000,2016
Dinesh Karthik,Gujarat Lions,230000,200000,2016
Irfan Pathan,Rising Pune Supergiant,100000,100000,2016
Chris Morris,Delhi Daredevils,700000,50000,2016
Colin Munro,Kolkata Knight Riders,30000,30000,2016
Stuart Binny,Royal Challengers Bangalore,200000,200000,2016
Mitchell Marsh,Rising Pune Supergiant,480000,200000,2016
Dhawal Kulkarni,Gujarat Lions,230000,200000,2016
John Hastings,Kolkata Knight Riders,130000,100000,2016
Praveen Kumar,Gujarat Lions,350000,50000,2016
Tim Southee,Mumbai Indians,250000,100000,2016
Mohit Sharma,Kings XI Punjab,650000,150000,2016
Carlos Brathwaite,Delhi Daredevils,420000,30000,2016
Marcus Stoinis,Kings XI Punjab,55000,30000,2016
Mustafizur Rahman,Sunrisers Hyderabad,140000,50000,2016
Jaydev Unadkat,Kolkata Knight Riders,160000,30000,2016
Kyle Abbott,Kings XI Punjab,210000,30000,2016
Barinder Sran,Sunrisers Hyderabad,120000,50000,2016
Abhimanyu Mithun,Sunrisers Hyderabad,30000,30000,2016
R. P. Singh,Rising Pune Supergiant,30000,30000,2016
Travis Head,Royal Challengers Bangalore,50000,30000,2016
Sachin Baby,Royal Challengers Bangalore,10000,10000,2016
Karun Nair,Delhi Daredevils,400000,10000,2016
Paras Dogra,Gujarat Lions,400000,10000,2016
Ishan Kishan,Gujarat Lions,35000,10000,2016
Rishabh Pant,Delhi Daredevils,190000,10000,2016
Eklavya Dwivedi,Gujarat Lions,100000,20000,2016
Aditya Tare,Sunrisers Hyderabad,120000,20000,2016
Iqbal Abdulla,Royal Challengers Bangalore,10000,10000,2016
Deepak Hooda,Sunrisers Hyderabad,420000,10000,2016
Ankit Sharma,Rising Pune Supergiant,10000,10000,2016
Pawan Negi,Delhi Daredevils,850000,30000,2016
Rajat Bhatia,Rising Pune Supergiant,60000,30000,2016
Pradeep Sangwan,Gujarat Lions,20000,20000,2016
Nathu Singh,Mumbai Indians,320000,10000,2016
Ishwar Pandey,Rising Pune Supergiant,20000,20000,2016
Ankit Rajpoot,Kolkata Knight Riders,150000,10000,2016
Pravin Tambe,Gujarat Lions,20000,10000,2016
Shivil Kaushik,Gujarat Lions,10000,10000,2016
Sarabjit Ladda,Gujarat Lions,10000,10000,2016
Murugan Ashwin,Rising Pune Supergiant,450000,10000,2016
KC Cariappa,Kings XI Punjab,80000,10000,2016
Aaron Finch,Gujarat Lions,100000,100000,2016
Sam Billings,Delhi Daredevils,30000,30000,2016
Tirumalasetti Suman,Sunrisers Hyderabad,10000,10000,2016
Ankush Bains,Rising Pune Supergiant,10000,10000,2016
Umang Sharma,Gujarat Lions,10000,10000,2016
Peter Handscomb,Rising Pune Supergiant,30000,30000,2016
Jitesh Sharma,Mumbai Indians,10000,10000,2016
Armaan Jaffer,Kings XI Punjab,10000,10000,2016
Jason Holder,Kolkata Knight Riders,70000,50000,2016
Thisara Perera,Rising Pune Supergiant,100000,100000,2016
Ben Cutting,Sunrisers Hyderabad,50000,50000,2016
Andrew Tye,Gujarat Lions,50000,30000,2016
Praveen Dubey,Royal Challengers Bangalore,35000,10000,2016
Rajagopal Sathish,Kolkata Knight Riders,20000,20000,2016
Vijay Shankar,Sunrisers Hyderabad,35000,10000,2016
Shadab Jakati,Gujarat Lions,20000,20000,2016
Akshay Karnewar,Royal Challengers Bangalore,10000,10000,2016
Akshdeep Nath,Gujarat Lions,10000,10000,2016
Manan Sharma,Kolkata Knight Riders,10000,10000,2016
Baba Aparajith,Rising Pune Supergiant,10000,10000,2016
Deepak Chahar,Rising Pune Supergiant,10000,10000,2016
Kishore Kamath,Mumbai Indians,140000,10000,2016
Pardeep Sahu,Kings XI Punjab,10000,10000,2016
Krunal Pandya,Mumbai Indians,200000,10000,2016
Deepak Punia,Mumbai Indians,10000,10000,2016
Swapnil Singh,Kings XI Punjab,10000,10000,2016
Khaleel Ahmed,Delhi Daredevils,10000,10000,2016
Jaydev Shah,Gujarat Lions,20000,20000,2016
Pratyush Singh,Delhi Daredevils,10000,10000,2016
Ashok Dinda,Rising Pune Supergiant,50000,50000,2016
Kane Richardson,Royal Challengers Bangalore,200000,200000,2016
Samuel Badree,Royal Challengers Bangalore,50000,50000,2016
Joel Paris,Delhi Daredevils,30000,30000,2016
Scott Boland,Rising Pune Supergiant,50000,50000,2016
Vikramjeet Malik,Royal Challengers Bangalore,20000,20000,2016
Pawan Suyal,Delhi Daredevils,10000,10000,2016
Adam Zampa,Rising Pune Supergiant,30000,30000,2016
Amit Mishra,Gujarat Lions,10000,10000,2016
Jaskaran Singh,Rising Pune Supergiant,10000,10000,2016
Chama Milind,Delhi Daredevils,10000,10000,2016
Vikas Tokas,Royal Challengers Bangalore,10000,10000,2016
Farhaan Behardien,Kings XI Punjab,30000,30000,2016
Akhil Herwadkar,Delhi Daredevils,10000,10000,2016
Mahipal Lomror,Delhi Daredevils,10000,10000,2016
