url,Player,Nationality,Team,Mat,Inns,Overs,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
http://www.iplt20.com/stats/2016/best-strikerates,Adam; Zampa,Overseas,RPS,5,5,17,115,12,19-Jun,9.58,6.76,8.5,0,1
http://www.iplt20.com/stats/2016/best-strikerates,Kane; Richardson,Overseas,Royal Challengers Bangalore,4,4,14,136,7,13-Mar,19.42,9.71,12,0,0
http://www.iplt20.com/stats/2016/best-strikerates,Kuldeep; Yadav,Indian,Kolkata Knight Riders,3,3,12,100,6,Mar-35,16.66,8.33,12,0,0
http://www.iplt20.com/stats/2016/best-strikerates,Ben; Cutting,Overseas,Sunrisers Hyderabad,4,4,11.1,80,5,20-Feb,16,7.16,13.4,0,0
http://www.iplt20.com/stats/2016/best-strikerates,Dwayne; Smith,Overseas,Gujarat Lions,12,8,18,153,8,8-Apr,19.12,8.5,13.5,1,0
http://www.iplt20.com/stats/2016/best-strikerates,Yuzvendra; Chahal,Indian,Royal Challengers Bangalore,13,13,49.1,401,21,25-Apr,19.09,8.15,14.04,1,0
http://www.iplt20.com/stats/2016/best-strikerates,Andre; Russell,Overseas,Kolkata Knight Riders,12,12,36.3,291,15,20-Apr,19.4,7.97,14.6,1,0
http://www.iplt20.com/stats/2016/best-strikerates,Chris; Jordan,Overseas,Royal Challengers Bangalore,9,9,28,258,11,11-Apr,23.45,9.21,15.27,1,0
http://www.iplt20.com/stats/2016/best-strikerates,Umesh; Yadav,Indian,Kolkata Knight Riders,9,9,26,234,10,28-Mar,23.4,9,15.6,0,0
http://www.iplt20.com/stats/2016/best-strikerates,Sreenath; Aravind,Indian,Royal Challengers Bangalore,9,9,29.1,216,11,18-Feb,19.63,7.4,15.9,0,0
http://www.iplt20.com/stats/2016/best-strikerates,Dhawal; Kulkarni,Indian,Gujarat Lions,14,14,49,364,18,14-Apr,20.22,7.42,16.33,1,0
http://www.iplt20.com/stats/2016/best-strikerates,Ashok; Dinda,Indian,Rising Pune Supergiants,9,9,30.3,231,11,20-Mar,21,7.57,16.63,0,0
http://www.iplt20.com/stats/2016/best-strikerates,Shane; Watson,Overseas,Royal Challengers Bangalore,16,16,56.3,485,20,29-Apr,24.25,8.58,16.95,1,0
http://www.iplt20.com/stats/2016/best-strikerates,Bhuvneshwar; Kumar,Indian,Sunrisers Hyderabad,17,17,66,490,23,29-Apr,21.3,7.42,17.21,1,0
http://www.iplt20.com/stats/2016/best-strikerates,Marcus; Stoinis,Overseas,Kings XI Punjab,7,7,23,194,8,15-Apr,24.25,8.43,17.25,1,0
http://www.iplt20.com/stats/2016/best-strikerates,Ashish; Nehra,Indian,Sunrisers Hyderabad,8,8,26,199,9,15-Mar,22.11,7.65,17.33,0,0
http://www.iplt20.com/stats/2016/best-strikerates,Mitchell; McClenaghan,Overseas,Mumbai Indians,14,14,53.2,436,17,21-Apr,25.64,8.17,18.82,1,0
http://www.iplt20.com/stats/2016/best-strikerates,Imran; Tahir,Overseas,Delhi Daredevils,4,4,16,138,5,24-Mar,27.6,8.62,19.2,0,0
http://www.iplt20.com/stats/2016/best-strikerates,Pravin; Tambe,Indian,Gujarat Lions,7,7,16,143,5,12-Feb,28.6,8.93,19.2,0,0
