url,Player,Nationality,Team,Mat,Inns,Overs,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
http://www.iplt20.com/stats/2014/best-strikerates,Karanveer; Singh,Indian,KXIP,5,5,20,164,11,Apr-54,14.9,8.2,10.9,1,0
http://www.iplt20.com/stats/2014/best-strikerates,Ashish; Nehra,Indian,Chennai Super Kings,4,4,15,142,8,Mar-33,17.75,9.46,11.25,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Sandeep; Sharma,Indian,Kings XI Punjab,11,11,40.1,354,18,15-Mar,19.66,8.81,13.38,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Varun; Aaron,Overseas,Royal Challengers Bangalore,10,10,36.4,299,16,16-Mar,18.68,8.15,13.75,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Imran; Tahir,Overseas,Delhi Daredevils,6,6,20.5,171,9,22-Mar,19,8.2,13.88,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Shreyas; Gopal,Indian,Mumbai Indians,4,4,14,113,6,25-Feb,18.83,8.07,14,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Mohit; Sharma,Indian,Chennai Super Kings,16,16,53.5,452,23,14-Apr,19.65,8.39,14.04,1,0
http://www.iplt20.com/stats/2014/best-strikerates,Lasith; Malinga,Overseas,Mumbai Indians,10,10,39.1,253,16,23-Apr,15.81,6.45,14.68,1,0
http://www.iplt20.com/stats/2014/best-strikerates,Dwayne; Smith,Overseas,Chennai Super Kings,16,5,10,95,4,11-Jan,23.75,9.5,15,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Moises; Henriques,Overseas,Sunrisers Hyderabad,4,4,10,96,4,26-Feb,24,9.6,15,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Bhuvneshwar; Kumar,Indian,Sunrisers Hyderabad,14,14,53.1,354,20,14-Apr,17.7,6.65,15.95,1,0
http://www.iplt20.com/stats/2014/best-strikerates,Harshal; Patel,Indian,Royal Challengers Bangalore,3,3,11,113,4,Feb-56,28.25,10.27,16.5,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Piyush; Chawla,Indian,Kolkata Knight Riders,11,11,39.3,303,14,19-Mar,21.64,7.67,16.92,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Lakshmipathy; Balaji,Indian,Kings XI Punjab,9,9,34,299,12,13-Apr,24.91,8.79,17,1,0
http://www.iplt20.com/stats/2014/best-strikerates,Ravindra; Jadeja,Indian,Chennai Super Kings,16,16,54.2,443,19,12-Apr,23.31,8.15,17.15,2,0
http://www.iplt20.com/stats/2014/best-strikerates,Kane; Richardson,Overseas,Rajasthan Royals,7,7,27,206,9,18-Feb,22.88,7.62,18,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Shane; Watson,Overseas,Rajasthan Royals,13,9,21,165,7,13-Mar,23.57,7.85,18,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Beuran; Hendricks,Overseas,Kings XI Punjab,3,3,12,126,4,Mar-36,31.5,10.5,18,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Sunil; Narine,Overseas,Kolkata Knight Riders,16,16,64,407,21,20-Apr,19.38,6.35,18.28,2,0
http://www.iplt20.com/stats/2014/best-strikerates,Mitchell; Johnson,Overseas,Kings XI Punjab,14,14,53.3,444,17,19-Feb,26.11,8.29,18.88,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Rajat; Bhatia,Indian,Rajasthan Royals,12,12,38,283,12,23-Mar,23.58,7.44,19,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Pravin; Tambe,Indian,Rajasthan Royals,13,13,49,356,15,20-Apr,23.73,7.26,19.6,1,0
http://www.iplt20.com/stats/2014/best-strikerates,Parvinder; Awana,Indian,Kings XI Punjab,7,7,23.3,245,7,15-Feb,35,10.42,20.14,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Karn; Sharma,Indian,Sunrisers Hyderabad,14,14,50.4,376,15,Apr-38,25.06,7.42,20.26,1,0
http://www.iplt20.com/stats/2014/best-strikerates,Jaydev; Unadkat,Indian,Delhi Daredevils,9,9,31.1,270,9,Mar-32,30,8.66,20.77,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Ben; Hilfenhaus,Overseas,Chennai Super Kings,8,8,28,246,8,Feb-32,30.75,8.78,21,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Rishi; Dhawan,Indian,Kings XI Punjab,13,13,47.2,365,13,14-Feb,28.07,7.71,21.84,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Ishant; Sharma,Indian,Sunrisers Hyderabad,3,3,11,101,3,Feb-37,33.66,9.18,22,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Ravichandran; Ashwin,Indian,Chennai Super Kings,16,16,59.5,437,16,30-Mar,27.31,7.3,22.43,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Mitchell; Starc,Overseas,Royal Challengers Bangalore,14,14,53.4,402,14,21-Feb,28.71,7.49,23,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Axar; Patel,Indian,Kings XI Punjab,17,17,66,405,17,24-Mar,23.82,6.13,23.29,0,0
http://www.iplt20.com/stats/2014/best-strikerates,James; Faulkner,Overseas,Rajasthan Royals,13,13,43,419,11,11-Mar,38.09,9.74,23.45,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Harbhajan; Singh,Indian,Mumbai Indians,14,14,55,356,14,13-Feb,25.42,6.47,23.57,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Morne; Morkel,Overseas,Kolkata Knight Riders,12,12,48,367,12,20-Feb,30.58,7.64,24,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Albie; Morkel,Overseas,Royal Challengers Bangalore,7,6,16,126,4,18-Jan,31.5,7.87,24,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Praveen; Kumar,Indian,Mumbai Indians,3,3,12,78,3,Feb-31,26,6.5,24,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Umesh; Yadav,Indian,Kolkata Knight Riders,12,12,45,367,11,13-Mar,33.36,8.15,24.54,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Zaheer; Khan,Indian,Mumbai Indians,6,6,22.2,146,5,21-Feb,29.2,6.53,26.8,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Dhawal; Kulkarni,Indian,Rajasthan Royals,8,8,27,221,6,23-Feb,36.83,8.18,27,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Corey; Anderson,Overseas,Mumbai Indians,12,9,18,184,4,18-Feb,46,10.22,27,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Kevon; Cooper,Overseas,Rajasthan Royals,5,5,18,134,4,Feb-38,33.5,7.44,27,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Yuvraj; Singh,Indian,Royal Challengers Bangalore,14,10,22.4,187,5,Apr-35,37.4,8.25,27.2,1,0
http://www.iplt20.com/stats/2014/best-strikerates,Shakib; Al Hasan,Overseas,Kolkata Knight Riders,13,13,50,334,11,22-Feb,30.36,6.68,27.27,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Vinay; Kumar,Indian,Kolkata Knight Riders,9,9,32,281,7,26-Feb,40.14,8.78,27.42,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Yuzvendra; Chahal,Indian,Royal Challengers Bangalore,14,14,55,386,12,17-Feb,32.16,7.01,27.5,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Darren; Sammy,Overseas,Sunrisers Hyderabad,10,8,14,157,3,20-Jan,52.33,11.21,28,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Shahbaz; Nadeem,Overseas,Delhi Daredevils,11,11,38,311,8,Feb-35,38.87,8.18,28.5,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Abu; Nechim,Overseas,Royal Challengers Bangalore,4,4,14.2,113,3,18-Jan,37.66,7.88,28.66,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Wayne; Parnell,Overseas,Delhi Daredevils,8,8,30.1,223,6,21-Feb,37.16,7.39,30.16,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Dale; Steyn,Overseas,Sunrisers Hyderabad,14,14,56,431,11,20-Feb,39.18,7.69,30.54,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Muttiah; Muralitharan,Overseas,Royal Challengers Bangalore,5,5,16,124,3,25-Feb,41.33,7.75,32,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Shivam; Sharma,Indian,Kings XI Punjab,4,4,16,121,3,26-Feb,40.33,7.56,32,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Amit; Mishra,Indian,Sunrisers Hyderabad,10,10,37.3,340,7,23-Feb,48.57,9.06,32.14,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Jacques; Kallis,Overseas,Kolkata Knight Riders,8,8,22,186,4,15-Jan,46.5,8.45,33,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Irfan; Pathan,Indian,Sunrisers Hyderabad,10,10,23.4,205,4,10-Feb,51.25,8.66,35.5,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Ashok; Dinda,Indian,Royal Challengers Bangalore,9,9,31,270,5,14-Jan,54,8.7,37.2,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Mohammed; Shami,Indian,Delhi Daredevils,12,12,44,369,7,22-Jan,52.71,8.38,37.71,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Siddarth; Kaul,Indian,Delhi Daredevils,5,5,13,126,2,5-Jan,63,9.69,39,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Ishwar; Pandey,Indian,Chennai Super Kings,13,12,42,318,6,23-Feb,53,7.57,42,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Samuel; Badree,Indian,Chennai Super Kings,4,4,14,97,2,19-Jan,48.5,6.92,42,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Jasprit; Bumrah,Indian,Mumbai Indians,11,11,39.4,301,5,22-Feb,60.2,7.58,47.6,0,0
http://www.iplt20.com/stats/2014/best-strikerates,JP; Duminy,Overseas,Delhi Daredevils,14,11,33,240,3,27-Feb,80,7.27,66,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Glenn; Maxwell,Overseas,Kings XI Punjab,16,7,11,132,1,21-Jan,132,12,66,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Kieron; Pollard,Overseas,Mumbai Indians,15,12,25,262,2,Jan-33,131,10.48,75,0,0
http://www.iplt20.com/stats/2014/best-strikerates,Suresh; Raina,Indian,Chennai Super Kings,16,8,18,134,1,17-Jan,134,7.44,108,0,0
