url,Player,Nationality,Team,Mat,Inns,Overs,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
http://www.iplt20.com/stats/2013/best-strikerates,Dwayne; Bravo,Overseas,CSK,18,18,62.3,497,32,Apr-42,15.53,7.95,11.71,1,0
http://www.iplt20.com/stats/2013/best-strikerates,Sandeep; Sharma,Indian,Kings XI Punjab,4,4,16,119,8,21-Mar,14.87,7.43,12,0,0
http://www.iplt20.com/stats/2013/best-strikerates,James; Faulkner,Overseas,Rajasthan Royals,16,16,63.1,427,28,16-May,15.25,6.75,13.53,0,2
http://www.iplt20.com/stats/2013/best-strikerates,Harmeet; Singh Bansal,Indian,Kings XI Punjab,3,3,11.2,87,5,24-Mar,17.4,7.67,13.6,0,0
http://www.iplt20.com/stats/2013/best-strikerates,Dhawal; Kulkarni,Indian,Mumbai Indians,6,6,18.4,151,8,19-Mar,18.87,8.08,14,0,0
http://www.iplt20.com/stats/2013/best-strikerates,Wayne; Parnell,Overseas,Pune Warriors India,4,4,14.5,137,6,27-Mar,22.83,9.23,14.83,0,0
http://www.iplt20.com/stats/2013/best-strikerates,Mohit; Sharma,Indian,Chennai Super Kings,15,15,50.4,326,20,10-Mar,16.3,6.43,15.2,0,0
http://www.iplt20.com/stats/2013/best-strikerates,Vinay; Kumar,Indian,Royal Challengers Bangalore,16,16,60.1,493,23,18-Mar,21.43,8.19,15.69,0,0
http://www.iplt20.com/stats/2013/best-strikerates,Mitchell; Johnson,Overseas,Mumbai Indians,17,17,64,459,24,27-Mar,19.12,7.17,16,0,0
http://www.iplt20.com/stats/2013/best-strikerates,Iqbal; Abdulla,Overseas,Kolkata Knight Riders,5,5,18.5,142,7,29-Mar,20.28,7.53,16.14,0,0
http://www.iplt20.com/stats/2013/best-strikerates,Mitchell; Marsh,Overseas,Pune Warriors India,9,7,19.2,182,7,7-Feb,26,9.41,16.57,0,0
http://www.iplt20.com/stats/2013/best-strikerates,Darren; Sammy,Overseas,Sunrisers Hyderabad,10,9,22.2,168,8,22-Apr,21,7.52,16.75,1,0
http://www.iplt20.com/stats/2013/best-strikerates,Kevon; Cooper,Overseas,Rajasthan Royals,14,14,54,449,19,15-Mar,23.63,8.31,17.05,0,0
