url,Player,Nationality,Team,Mat,Inns,Overs,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
http://www.iplt20.com/stats/2009/best-strikerates,Amit; Singh,Indian,RR,5,5,17.3,95,9,19-Apr,10.55,5.42,11.66,1,0
http://www.iplt20.com/stats/2009/best-strikerates,YA; Abdulla,Overseas,Kings XI Punjab,9,9,28,241,14,Apr-31,17.21,8.6,12,2,0
http://www.iplt20.com/stats/2009/best-strikerates,Rohit; Sharma,Indian,Deccan Chargers,16,12,23,161,11,6-Apr,14.63,7,12.54,1,0
http://www.iplt20.com/stats/2009/best-strikerates,Rajat; Bhatia,Indian,Delhi Daredevils,8,7,21.4,146,10,15-Apr,14.6,6.73,13,1,0
http://www.iplt20.com/stats/2009/best-strikerates,Munaf; Patel,Indian,Rajasthan Royals,11,11,34.5,241,16,14-Feb,15.06,6.91,13.06,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Shadab; Jakati,Overseas,Chennai Super Kings,9,8,29,217,13,22-Apr,16.69,7.48,13.38,2,0
http://www.iplt20.com/stats/2009/best-strikerates,MF; Maharoof,Overseas,Delhi Daredevils,3,3,10,65,4,27-Feb,16.25,6.5,15,0,0
http://www.iplt20.com/stats/2009/best-strikerates,RP; Singh,Indian,Deccan Chargers,16,16,59.4,417,23,22-Apr,18.13,6.98,15.56,1,0
http://www.iplt20.com/stats/2009/best-strikerates,Ashish; Nehra,Indian,Delhi Daredevils,13,13,51,346,19,27-Mar,18.21,6.78,16.1,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Sanath; Jayasuriya,Overseas,Mumbai Indians,12,9,19,163,7,3-Feb,23.28,8.57,16.28,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Lasith; Malinga,Overseas,Mumbai Indians,13,13,49.3,312,18,11-Mar,17.33,6.3,16.5,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Balachandra; Akhil,Indian,Royal Challengers Bangalore,6,5,11,80,4,18-Feb,20,7.27,16.5,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Anil; Kumble,Indian,Royal Challengers Bangalore,16,16,59.1,347,21,5-May,16.52,5.86,16.9,1,1
http://www.iplt20.com/stats/2009/best-strikerates,Brad; Hodge,Overseas,Kolkata Knight Riders,12,9,20,161,7,29-Mar,23,8.05,17.14,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Lakshmipathy; Balaji,Indian,Chennai Super Kings,13,13,37.2,316,13,21-Apr,24.3,8.46,17.23,1,0
http://www.iplt20.com/stats/2009/best-strikerates,Kamran; Khan,Overseas,Rajasthan Royals,5,5,17.4,124,6,18-Mar,20.66,7.01,17.66,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Irfan; Pathan,Indian,Kings XI Punjab,14,14,50.2,390,17,Mar-35,22.94,7.74,17.76,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Pragyan; Ojha,Indian,Deccan Chargers,15,15,53.3,348,18,21-Mar,19.33,6.5,17.83,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Tirumalasetti; Suman,Overseas,Deccan Chargers,12,5,15,108,5,14-Feb,21.6,7.2,18,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Abhishek; Nayar,Indian,Mumbai Indians,13,4,12,84,4,13-Mar,21,7,18,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Amit; Mishra,Indian,Delhi Daredevils,11,11,42.1,294,14,14-Mar,21,6.97,18.07,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Dwayne; Bravo,Overseas,Mumbai Indians,11,11,33.1,259,11,Mar-34,23.54,7.8,18.09,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Albie; Morkel,Overseas,Chennai Super Kings,12,12,40,328,13,13-Feb,25.23,8.2,18.46,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Jacob; Oram,Indian,Chennai Super Kings,11,7,15.3,133,5,12-Feb,26.6,8.58,18.6,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Pradeep; Sangwan,Indian,Delhi Daredevils,13,13,46.4,360,15,18-Mar,24,7.71,18.66,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Dimitri; Mascarenhas,Overseas,Rajasthan Royals,5,5,19.2,132,6,20-Mar,22,6.82,19.33,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Kevin; Pietersen,Overseas,Royal Challengers Bangalore,6,4,13,85,4,Feb-31,21.25,6.53,19.5,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Dirk; Nannes,Overseas,Delhi Daredevils,13,13,49.3,372,15,27-Mar,24.8,7.51,19.8,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Daniel; Vettori,Overseas,Delhi Daredevils,7,7,23.1,181,7,15-Mar,25.85,7.81,19.85,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Siddharth; Trivedi,Indian,Rajasthan Royals,7,7,20,152,6,19-Feb,25.33,7.6,20,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Yuvraj; Singh,Indian,Kings XI Punjab,14,9,20,142,6,13-Mar,23.66,7.1,20,0,0
http://www.iplt20.com/stats/2009/best-strikerates,SM; Harwood,Overseas,Rajasthan Royals,3,3,10,73,3,25-Feb,24.33,7.3,20,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Manpreet; Gony,Indian,Chennai Super Kings,7,7,17,172,5,Feb-32,34.4,10.11,20.4,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Andrew; Symonds,Overseas,Deccan Chargers,8,8,24,160,7,18-Feb,22.85,6.66,20.57,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Zaheer; Khan,Indian,Mumbai Indians,6,6,21,142,6,31-Mar,23.66,6.76,21,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Shane; Warne,Overseas,Rajasthan Royals,13,13,50,365,14,24-Mar,26.07,7.3,21.42,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Muttiah; Muralitharan,Overseas,Chennai Super Kings,13,13,50,261,14,11-Mar,18.64,5.22,21.42,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Vinay; Kumar,Indian,Royal Challengers Bangalore,11,11,32.2,271,9,Feb-30,30.11,8.38,21.55,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Harbhajan; Singh,Indian,Mumbai Indians,13,13,44,256,12,17-Apr,21.33,5.81,22,1,0
http://www.iplt20.com/stats/2009/best-strikerates,Piyush; Chawla,Indian,Kings XI Punjab,14,14,44.5,308,12,22-Feb,25.66,6.86,22.41,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Venugopal; Rao,Indian,Deccan Chargers,16,6,15,122,4,23-Feb,30.5,8.13,22.5,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Roelof; van der Merwe,Overseas,Royal Challengers Bangalore,10,10,34,248,9,22-Feb,27.55,7.29,22.66,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Sudeep; Tyagi,Indian,Chennai Super Kings,8,8,19,136,5,18-Feb,27.2,7.15,22.8,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Praveen; Kumar,Overseas,Royal Challengers Bangalore,13,13,49.4,394,13,30-Mar,30.3,7.93,22.92,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Shanthakumaran; Sreesanth,Indian,Kings XI Punjab,7,7,23,192,6,20-Feb,32,8.34,23,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Ravindra; Jadeja,Indian,Rajasthan Royals,13,10,23.2,151,6,15-Mar,25.16,6.47,23.33,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Ishant; Sharma,Indian,Kolkata Knight Riders,11,11,43,297,11,15-Feb,27,6.9,23.45,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Suresh; Raina,Indian,Chennai Super Kings,14,10,27.4,164,7,17-Feb,23.42,5.92,23.71,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Brett; Lee,Overseas,Kings XI Punjab,5,5,20,111,5,15-Mar,22.2,5.55,24,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Johan; Botha,Overseas,Rajasthan Royals,3,3,12,74,3,19-Feb,24.66,6.16,24,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Ramesh; Powar,Indian,Kings XI Punjab,9,8,21,132,5,11-Feb,26.4,6.28,25.2,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Aavishkar; Salvi,Overseas,Delhi Daredevils,5,5,17,134,4,19-Feb,33.5,7.88,25.5,0,0
http://www.iplt20.com/stats/2009/best-strikerates,JP; Duminy,Overseas,Mumbai Indians,13,6,17.3,93,4,15-Feb,23.25,5.31,26.25,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Laxmi; Ratan Shukla,Indian,Kolkata Knight Riders,9,5,14,100,3,25-Mar,33.33,7.14,28,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Yusuf; Pathan,Indian,Rajasthan Royals,13,11,35,243,7,Mar-34,34.71,6.94,30,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Ajit; Agarkar,Indian,Kolkata Knight Riders,11,11,31,284,6,15-Feb,47.33,9.16,31,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Ryan; Harris,Overseas,Deccan Chargers,8,8,31,230,6,27-Mar,38.33,7.41,31,0,0
http://www.iplt20.com/stats/2009/best-strikerates,Dhawal; Kulkarni,Indian,Mumbai Indians,8,8,26,206,5,21-Jan,41.2,7.92,31.2,0,0
