url,Player,Nationality,Team,Mat,Inns,Overs,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
http://www.iplt20.com/stats/2015/best-strikerates,Dwayne; Bravo,Overseas,CSK,17,16,52.2,426,26,22-Mar,16.38,8.14,12.07,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Yuzvendra; Chahal,Indian,Royal Challengers Bangalore,15,14,46.5,415,23,Mar-40,18.04,8.86,12.21,0,0
http://www.iplt20.com/stats/2015/best-strikerates,JP; Duminy,Overseas,Delhi Daredevils,14,9,17,126,8,17-Apr,15.75,7.41,12.75,1,0
http://www.iplt20.com/stats/2015/best-strikerates,Mitchell; Starc,Overseas,Royal Challengers Bangalore,13,12,43,291,20,15-Apr,14.55,6.76,12.9,1,0
http://www.iplt20.com/stats/2015/best-strikerates,Sreenath; Aravind,Indian,Royal Challengers Bangalore,5,5,18,132,8,27-Apr,16.5,7.33,13.5,1,0
http://www.iplt20.com/stats/2015/best-strikerates,Moises; Henriques,Overseas,Sunrisers Hyderabad,9,9,25,158,11,16-Mar,14.36,6.32,13.63,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Brad; Hogg,Overseas,Kolkata Knight Riders,6,6,21,144,9,29-Apr,16,6.85,14,1,0
http://www.iplt20.com/stats/2015/best-strikerates,Imran; Tahir,Overseas,Delhi Daredevils,10,10,35.3,314,15,28-Apr,20.93,8.84,14.2,1,0
http://www.iplt20.com/stats/2015/best-strikerates,Lasith; Malinga,Overseas,Mumbai Indians,15,15,60,444,24,23-Apr,18.5,7.4,15,1,0
http://www.iplt20.com/stats/2015/best-strikerates,Harshal; Patel,Indian,Royal Challengers Bangalore,15,14,43.5,328,17,12-Feb,19.29,7.48,15.47,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Beuran; Hendricks,Overseas,Kings XI Punjab,4,4,13,109,5,Feb-40,21.8,8.38,15.6,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Mitchell; McClenaghan,Overseas,Mumbai Indians,12,12,47,386,18,16-Mar,21.44,8.21,15.66,0,0
http://www.iplt20.com/stats/2015/best-strikerates,David; Wiese,Overseas,Royal Challengers Bangalore,14,13,42.2,353,16,Apr-33,22.06,8.33,15.87,1,0
http://www.iplt20.com/stats/2015/best-strikerates,Dhawal; Kulkarni,Indian,Rajasthan Royals,11,11,35,277,13,9-Feb,21.3,7.91,16.15,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Morne; Morkel,Overseas,Kolkata Knight Riders,7,7,28,206,10,18-Feb,20.6,7.35,16.8,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Ashish; Nehra,Indian,Chennai Super Kings,16,16,62,449,22,10-Apr,20.4,7.24,16.9,1,0
http://www.iplt20.com/stats/2015/best-strikerates,Ishwar; Pandey,Indian,Chennai Super Kings,10,10,31,223,11,27-Feb,20.27,7.19,16.9,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Nathan; Coulter-Nile,Overseas,Delhi Daredevils,11,11,42.3,321,15,20-Apr,21.4,7.55,17,1,0
http://www.iplt20.com/stats/2015/best-strikerates,Bhuvneshwar; Kumar,Indian,Sunrisers Hyderabad,14,14,51.4,407,18,26-Mar,22.61,7.87,17.22,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Andre; Russell,Overseas,Kolkata Knight Riders,13,13,40.4,324,14,Mar-32,23.14,7.96,17.42,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Trent; Boult,Overseas,Sunrisers Hyderabad,7,7,28,236,9,19-Mar,26.22,8.42,18.66,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Harbhajan; Singh,Indian,Mumbai Indians,15,15,57,446,18,27-Mar,24.77,7.82,19,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Piyush; Chawla,Indian,Kolkata Knight Riders,13,13,35,269,11,Apr-32,24.45,7.68,19.09,1,0
http://www.iplt20.com/stats/2015/best-strikerates,Chris; Morris,Overseas,Rajasthan Royals,11,11,42,311,13,23-Apr,23.92,7.4,19.38,1,0
http://www.iplt20.com/stats/2015/best-strikerates,Ravi; Bopara,Indian,Sunrisers Hyderabad,9,7,20,160,6,18-Feb,26.66,8,20,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Anureet; Singh,Indian,Kings XI Punjab,14,14,51.4,465,15,23-Mar,31,9,20.66,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Zaheer; Khan,Indian,Delhi Daredevils,7,7,24.1,156,7,9-Feb,22.28,6.45,20.71,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Domnic; Joseph,Overseas,Delhi Daredevils,6,6,14,101,4,18-Feb,25.25,7.21,21,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Shakib; Al Hasan,Overseas,Kolkata Knight Riders,4,4,14,123,4,22-Feb,30.75,8.78,21,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Axar; Patel,Indian,Kings XI Punjab,14,14,46.4,392,13,11-Feb,30.15,8.4,21.53,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Sandeep; Sharma,Indian,Kings XI Punjab,14,14,50,350,13,25-Apr,26.92,7,23.07,1,0
http://www.iplt20.com/stats/2015/best-strikerates,Ravindra; Jadeja,Indian,Chennai Super Kings,17,15,42.4,330,11,11-Apr,30,7.73,23.27,1,0
http://www.iplt20.com/stats/2015/best-strikerates,Jagadeesha; Suchith,Indian,Mumbai Indians,13,12,39,337,10,14-Feb,33.7,8.64,23.4,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Ravichandran; Ashwin,Indian,Chennai Super Kings,14,13,39,228,10,5-Feb,22.8,5.84,23.4,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Mitchell; Johnson,Overseas,Kings XI Punjab,9,9,35.5,336,9,23-Feb,37.33,9.37,23.88,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Karn; Sharma,Indian,Sunrisers Hyderabad,14,14,39.5,332,10,12-Feb,33.2,8.33,23.9,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Albie; Morkel,Overseas,Delhi Daredevils,4,4,12,109,3,21-Feb,36.33,9.08,24,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Mohit; Sharma,Indian,Chennai Super Kings,16,16,57,481,14,25-Mar,34.35,8.43,24.42,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Umesh; Yadav,Indian,Kolkata Knight Riders,12,12,42,382,10,Mar-33,38.2,9.09,25.2,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Kieron; Pollard,Overseas,Mumbai Indians,16,8,12.4,120,3,6-Jan,40,9.47,25.33,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Angelo; Mathews,Overseas,Delhi Daredevils,11,10,30,246,7,15-Feb,35.14,8.2,25.71,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Amit; Mishra,Indian,Delhi Daredevils,12,12,40.1,310,9,Feb-32,34.44,7.71,26.77,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Sunil; Narine,Overseas,Kolkata Knight Riders,8,8,32,234,7,19-Apr,33.42,7.31,27.42,1,0
http://www.iplt20.com/stats/2015/best-strikerates,Tim; Southee,Overseas,Rajasthan Royals,7,7,28,247,6,Feb-32,41.16,8.82,28,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Ankit; Sharma,Indian,Rajasthan Royals,4,4,14,114,3,26-Jan,38,8.14,28,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Stuart; Binny,Indian,Rajasthan Royals,13,10,19,140,4,27-Feb,35,7.36,28.5,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Iqbal; Abdulla,Overseas,Royal Challengers Bangalore,5,5,19,150,4,Feb-36,37.5,7.89,28.5,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Shane; Watson,Overseas,Rajasthan Royals,10,10,29,269,6,Feb-36,44.83,9.27,29,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Pravin; Tambe,Indian,Rajasthan Royals,10,10,34,266,7,21-Feb,38,7.82,29.14,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Pawan; Negi,Indian,Chennai Super Kings,10,10,30,252,6,25-Feb,42,8.4,30,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Jasprit; Bumrah,Indian,Mumbai Indians,4,4,15,184,3,Jan-38,61.33,12.26,30,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Glenn; Maxwell,Overseas,Kings XI Punjab,11,7,10,97,2,5-Jan,48.5,9.7,30,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Yusuf; Pathan,Indian,Kolkata Knight Riders,13,5,10,97,2,0/0,48.5,9.7,30,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Praveen; Kumar,Indian,Sunrisers Hyderabad,12,12,36,329,7,Feb-35,47,9.13,30.85,0,0
http://www.iplt20.com/stats/2015/best-strikerates,James; Faulkner,Overseas,Rajasthan Royals,13,13,45,426,8,26-Mar,53.25,9.46,33.75,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Varun; Aaron,Overseas,Royal Challengers Bangalore,6,5,17.2,177,3,24-Feb,59,10.21,34.66,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Suresh; Raina,Indian,Chennai Super Kings,17,5,12,93,2,29-Jan,46.5,7.75,36,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Vinay; Kumar,Indian,Mumbai Indians,13,13,43.3,368,7,26-Feb,52.57,8.45,37.28,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Dale; Steyn,Overseas,Sunrisers Hyderabad,6,6,19,170,3,Feb-38,56.66,8.94,38,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Pat; Cummins,Overseas,Kolkata Knight Riders,3,3,10,97,1,Jan-54,97,9.7,60,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Johan; Botha,Overseas,Kolkata Knight Riders,4,4,10,81,1,Jan-32,81,8.1,60,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Rishi; Dhawan,Indian,Kings XI Punjab,5,5,12,110,1,12-Jan,110,9.16,72,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Abu; Nechim,Overseas,Royal Challengers Bangalore,3,3,12,128,1,28-Jan,128,10.66,72,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Karanveer; Singh,Indian,Kings XI Punjab,4,4,14,157,1,30-Jan,157,11.21,84,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Ishant; Sharma,Indian,Sunrisers Hyderabad,4,4,14,159,1,25-Jan,159,11.35,84,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Deepak; Hooda,Indian,Rajasthan Royals,14,7,15.1,129,1,Jan-35,129,8.5,91,0,0
http://www.iplt20.com/stats/2015/best-strikerates,Hardik; Pandya,Indian,Mumbai Indians,9,8,17,176,1,13-Jan,176,10.35,102,0,0
